dobih_number,name,height_m,height_ft,xcoord,ycoord,1891,1921,1933,1953,1969,1974,1981,1984,1990,1997,2021,latitude,longitude,nearest_center,min_distance_km,nearest_center_lat,nearest_center_lon
827,Sgurr na Carnach,1002.0,3287.0,197715.0,815891.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro,Munro,57.1890560980352,-5.3492261521900675,Inverinate,8.946555785838633,57.2428829,-5.4596682
844,Sgurr Fhuaran - Sgurr nan Saighead,929.0,3048.0,197465.0,817795.0,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.20601994302755,-5.354904969531408,Inverinate,7.5213311943516326,57.2428829,-5.4596682
825,Sgurr na Ciste Duibhe,1027.0,3369.0,198401.0,814953.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.18094647965793,-5.3371362856456654,Inverinate,10.093117610296416,57.2428829,-5.4596682
831,Sgurr na Ciste Duibhe - Sgurr nan Spainteach,990.0,3248.0,199145.0,815011.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.181792986043305,-5.324897036344265,Inverinate,10.583035478910547,57.2428829,-5.4596682
839,Saileag,956.0,3136.0,201774.0,814827.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.18128650476839,-5.281334024107097,Inverinate,12.736813610280096,57.2428829,-5.4596682
821,Sgurr a' Bhealaich Dheirg,1036.0,3399.0,203517.0,814360.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.177848149122184,-5.252180452034731,Inverinate,14.436371343691139,57.2428829,-5.4596682
828,Aonach Meadhoin,1001.0,3284.0,204882.0,813760.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.17304952807717,-5.229169540879305,Inverinate,15.905428625152508,57.2428829,-5.4596682
832,Aonach Meadhoin - Sgurr an Fhuarail,987.0,3238.0,205443.0,813979.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.175251908632,-5.220077460191145,Inverinate,16.270458841128182,57.2428829,-5.4596682
834,Ciste Dhubh,981.1,3219.0,206236.0,816618.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.19925633236135,-5.20903637751702,Inverinate,15.84889475234016,57.2428829,-5.4596682
823,Beinn Fhada,1031.9,3385.0,201856.0,819254.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.221024105289544,-5.2835057894545,Inverinate,10.877038621724301,57.2428829,-5.4596682
838,Beinn Fhada - Sgurr a' Dubh Doire,962.0,3156.0,203474.0,818543.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.215344710007784,-5.256193970207739,Inverinate,12.623657055565374,57.2428829,-5.4596682
840,Beinn Fhada - Meall an Fhuarain Mhoir,954.9,3133.0,199996.0,819619.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.22348894746958,-5.314548478197931,Inverinate,8.995765290017115,57.2428829,-5.4596682
846,A' Ghlas-bheinn,918.0,3012.0,200822.0,823104.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.255102233652096,-5.303689470216619,Inverinate,9.480806184063184,57.2428829,-5.4596682
805,Sgurr nan Ceathramhnan [Sgurr nan Ceathreamhnan],1151.0,3776.0,205702.0,822851.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.254932190687896,-5.222736231293625,Inverinate,14.315565903569585,57.2428829,-5.4596682
807,Sgurr nan Ceathramhnan West Top,1143.0,3750.0,205295.0,822819.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.2544721306667,-5.229446201839201,Inverinate,13.90900174706589,57.2428829,-5.4596682
837,Sgurr nan Ceathramhnan East Top,969.0,3179.0,206475.0,822531.0,Unclassified,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.25238989419442,-5.209694498051125,Inverinate,15.074889415403934,57.2428829,-5.4596682
812,Sgurr nan Ceathramhnan - Stuc Bheag,1075.0,3527.0,205357.0,823733.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.26269579797256,-5.229138037985322,Inverinate,14.04009215969997,57.2428829,-5.4596682
820,Sgurr nan Ceathramhnan - Stuc Mor,1041.0,3415.0,205366.0,824281.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.267614402478074,-5.2294196096259595,Inverinate,14.118716606722723,57.2428829,-5.4596682
830,Sgurr nan Ceathramhnan - Creag nan Clachan Geala,999.6,3280.0,204234.0,823273.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.258090941676095,-5.247361853509393,Inverinate,12.882295097581057,57.2428829,-5.4596682
843,Sgurr nan Ceathramhnan - Stob Coire nan Dearcag,939.1,3081.0,207141.0,822504.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.252429004113765,-5.198652872153569,Inverinate,15.737842693431064,57.2428829,-5.4596682
847,Sgurr nan Ceathramhnan - Stuc Fraoch Choire,918.0,3012.0,205222.0,825311.0,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Munro Top,Munro Top,57.27679066065207,-5.232613546860895,Inverinate,14.165493287732827,57.2428829,-5.4596682
850,Sgurr nan Ceathramhnan - Stob Coire na Cloiche,912.5,2994.0,207521.0,822725.0,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Munro Top,Munro Top,57.25457118174802,-5.1925363575210906,Inverinate,16.121963325780516,57.2428829,-5.4596682
833,Mullach na Dheiragain,982.0,3222.0,208044.0,825917.0,Unclassified,Unclassified,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.28341984012089,-5.186355356050652,Inverinate,17.041792339113698,57.2428829,-5.4596682
835,Mullach na Dheiragain - Mullach Sithidh,974.0,3196.0,208218.0,826418.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.28798634484194,-5.183861998500536,Inverinate,17.325548389522158,57.2428829,-5.4596682
842,Mullach na Dheiragain - Creag a' Choire Aird East Top,933.0,3061.0,208688.0,826732.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.29099968130898,-5.17631987658877,Inverinate,17.856959923583403,57.2428829,-5.4596682
